ESTACION,MAGNITUD,ANO,MES,DIA,H08
55,7,2018,9,13,31.0
55,7,2018,9,14,32.0
55,7,2018,9,15,11.0
55,7,2018,9,16,12.0
55,7,2018,9,17,14.0
55,7,2018,9,18,21.0
55,7,2018,9,19,56.0
55,7,2018,9,20,30.0
55,7,2018,9,21,60.0
55,7,2018,9,22,2.0
55,7,2018,9,23,4.0
55,7,2018,9,24,17.0
55,7,2018,9,25,17.0
55,7,2018,9,26,5.0
55,7,2018,9,27,83.0
55,7,2018,9,28,57.0
55,7,2018,9,29,14.0
55,7,2018,9,30,9.0
56,7,2018,9,1,9.0
56,7,2018,9,2,8.0
56,7,2018,9,3,106.0
56,7,2018,9,4,68.0
56,7,2018,9,5,45.0
56,7,2018,9,6,70.0
56,7,2018,9,7,17.0
56,7,2018,9,8,9.0
56,7,2018,9,9,15.0
56,7,2018,9,10,68.0
56,7,2018,9,11,31.0
56,7,2018,9,12,21.0
56,7,2018,9,13,43.0
56,7,2018,9,14,24.0
56,7,2018,9,15,13.0
56,7,2018,9,16,8.0
56,7,2018,9,17,22.0
56,7,2018,9,18,65.0
56,7,2018,9,19,30.0
56,7,2018,9,20,33.0
56,7,2018,9,21,17.0
56,7,2018,9,22,6.0
56,7,2018,9,23,21.0
56,7,2018,9,24,22.0
56,7,2018,9,25,35.0
56,7,2018,9,26,17.0
56,7,2018,9,27,133.0
56,7,2018,9,28,39.0
56,7,2018,9,29,45.0
56,7,2018,9,30,43.0
57,7,2018,9,1,1.0
57,7,2018,9,2,2.0
57,7,2018,9,3,5.0
57,7,2018,9,4,4.0
57,7,2018,9,5,5.0
57,7,2018,9,6,2.0
57,7,2018,9,7,2.0
57,7,2018,9,8,1.0
57,7,2018,9,9,4.0
57,7,2018,9,10,4.0
57,7,2018,9,11,5.0
57,7,2018,9,12,1.0
57,7,2018,9,13,1.0
57,7,2018,9,14,1.0
57,7,2018,9,15,2.0
57,7,2018,9,16,2.0
57,7,2018,9,17,2.0
57,7,2018,9,18,3.0
57,7,2018,9,19,3.0
57,7,2018,9,20,3.0
57,7,2018,9,21,11.0
57,7,2018,9,22,1.0
57,7,2018,9,23,1.0
57,7,2018,9,24,2.0
57,7,2018,9,25,3.0
57,7,2018,9,26,1.0
57,7,2018,9,27,13.0
57,7,2018,9,28,9.0
57,7,2018,9,29,2.0
57,7,2018,9,30,2.0
58,7,2018,9,1,1.0
58,7,2018,9,2,1.0
58,7,2018,9,3,18.0
58,7,2018,9,4,15.0
58,7,2018,9,5,8.0
58,7,2018,9,6,4.0
58,7,2018,9,7,1.0
58,7,2018,9,8,1.0
58,7,2018,9,9,5.0
58,7,2018,9,10,20.0
58,7,2018,9,11,22.0
58,7,2018,9,12,2.0
58,7,2018,9,13,15.0
58,7,2018,9,14,7.0
58,7,2018,9,15,1.0
58,7,2018,9,16,2.0
58,7,2018,9,17,14.0
58,7,2018,9,18,5.0
58,7,2018,9,19,18.0
58,7,2018,9,20,16.0
58,7,2018,9,21,19.0
58,7,2018,9,22,1.0
58,7,2018,9,23,1.0
58,7,2018,9,24,2.0
58,7,2018,9,25,5.0
58,7,2018,9,26,1.0
58,7,2018,9,27,9.0
58,7,2018,9,28,16.0
58,7,2018,9,29,1.0
58,7,2018,9,30,1.0
59,7,2018,9,1,1.0
59,7,2018,9,2,1.0
59,7,2018,9,3,9.0
59,7,2018,9,4,4.0
59,7,2018,9,5,9.0
59,7,2018,9,6,8.0
59,7,2018,9,7,1.0
59,7,2018,9,8,1.0
59,7,2018,9,9,2.0
59,7,2018,9,10,2.0
59,7,2018,9,11,3.0
59,7,2018,9,12,2.0
59,7,2018,9,13,1.0
59,7,2018,9,14,1.0
59,7,2018,9,15,1.0
59,7,2018,9,16,1.0
59,7,2018,9,17,1.0
59,7,2018,9,18,2.0
59,7,2018,9,19,2.0
59,7,2018,9,20,1.0
59,7,2018,9,21,26.0
59,7,2018,9,22,1.0
59,7,2018,9,23,1.0
59,7,2018,9,24,1.0
59,7,2018,9,25,1.0
59,7,2018,9,26,1.0
59,7,2018,9,27,3.0
59,7,2018,9,28,10.0
59,7,2018,9,29,1.0
59,7,2018,9,30,1.0
60,7,2018,9,1,1.0
60,7,2018,9,2,1.0
60,7,2018,9,3,8.0
60,7,2018,9,4,9.0
60,7,2018,9,5,5.0
60,7,2018,9,6,3.0
60,7,2018,9,7,1.0
60,7,2018,9,8,1.0
60,7,2018,9,9,7.0
60,7,2018,9,10,3.0
60,7,2018,9,11,3.0
60,7,2018,9,12,1.0
60,7,2018,9,13,7.0
60,7,2018,9,14,5.0
60,7,2018,9,15,2.0
60,7,2018,9,16,1.0
60,7,2018,9,17,3.0
60,7,2018,9,18,1.0
60,7,2018,9,19,5.0
60,7,2018,9,20,10.0
60,7,2018,9,21,18.0
60,7,2018,9,22,1.0
60,7,2018,9,23,1.0
60,7,2018,9,24,1.0
60,7,2018,9,25,2.0
60,7,2018,9,26,1.0
60,7,2018,9,27,6.0
60,7,2018,9,28,22.0
60,7,2018,9,29,1.0
60,7,2018,9,30,2.0
