ESTACION,MAGNITUD,ANO,MES,DIA,H08
35,7,2018,10,31,3.0
36,7,2018,10,1,2.0
36,7,2018,10,2,17.0
36,7,2018,10,3,2.0
36,7,2018,10,4,13.0
36,7,2018,10,5,37.0
36,7,2018,10,6,26.0
36,7,2018,10,7,1.0
36,7,2018,10,8,45.0
36,7,2018,10,9,24.0
36,7,2018,10,10,33.0
36,7,2018,10,11,13.0
36,7,2018,10,12,2.0
36,7,2018,10,13,11.0
36,7,2018,10,14,2.0
36,7,2018,10,15,18.0
36,7,2018,10,16,63.0
36,7,2018,10,17,62.0
36,7,2018,10,18,6.0
36,7,2018,10,19,6.0
36,7,2018,10,20,2.0
36,7,2018,10,21,2.0
36,7,2018,10,22,120.0
36,7,2018,10,23,9.0
36,7,2018,10,24,32.0
36,7,2018,10,25,71.0
36,7,2018,10,26,21.0
36,7,2018,10,27,6.0
36,7,2018,10,28,2.0
36,7,2018,10,29,12.0
36,7,2018,10,30,10.0
36,7,2018,10,31,17.0
38,7,2018,10,1,13.0
38,7,2018,10,2,34.0
38,7,2018,10,3,12.0
38,7,2018,10,4,36.0
38,7,2018,10,5,29.0
38,7,2018,10,6,25.0
38,7,2018,10,7,1.0
38,7,2018,10,8,37.0
38,7,2018,10,9,21.0
38,7,2018,10,10,22.0
38,7,2018,10,11,7.0
38,7,2018,10,12,1.0
38,7,2018,10,13,13.0
38,7,2018,10,14,1.0
38,7,2018,10,15,17.0
38,7,2018,10,16,44.0
38,7,2018,10,17,29.0
38,7,2018,10,18,17.0
38,7,2018,10,19,26.0
38,7,2018,10,20,5.0
38,7,2018,10,21,3.0
38,7,2018,10,22,137.0
38,7,2018,10,23,12.0
38,7,2018,10,24,98.0
38,7,2018,10,25,41.0
38,7,2018,10,26,53.0
38,7,2018,10,27,9.0
38,7,2018,10,28,4.0
38,7,2018,10,29,18.0
38,7,2018,10,30,7.0
38,7,2018,10,31,21.0
39,7,2018,10,1,1.0
39,7,2018,10,2,8.0
39,7,2018,10,3,1.0
39,7,2018,10,4,8.0
